Pmt. Discount Date;Pmt. Discount Date;Skontodatum
Posting Description;Posting Description;Buchungsbeschreibung
Posting from Whse. Ref.;Posting from Whse. Ref.;Buchung von Lagerref.-Nr.
Posting No.;Posting No.;Buchungsnr.
Posting No. Series;Posting No. Series;Buchungsnr.-Serie
Prepayment %;Prepayment %;Vorauszahlung %
Prepayment Due Date;Prepayment Due Date;Fälligkeitsdatum Vorauszahlung
Prepayment No.;Prepayment No.;Vorauszahlungsnr.
Prepayment No. Series;Prepayment No. Series;Vorauszahlung Nummernserie
Prepmt. Cr. Memo No.;Prepmt. Cr. Memo No.;Vorauszahlungs-Gutschriftnr.
Prepmt. Cr. Memo No. Series;Prepmt. Cr. Memo No. Series;Vorauszahlungsgutschrift Nummernserie
Prepmt. Payment Discount %;Prepmt. Payment Discount %;Skonto % Vorauszahlung
Prepmt. Payment Terms Code;Prepmt. Payment Terms Code;Zlg.-Bedingungscode Vorauszahlung
Prepmt. Pmt. Discount Date;Prepmt. Pmt. Discount Date;Skontodatum Vorauszahlung
Prepmt. Posting Description;Prepmt. Posting Description;Vorauszahlungs-Buchungsbeschreibung
Prices Including VAT;Prices Including VAT;Preise inkl. MWST
Print Posted Documents;Print Posted Documents;Gebuchte Belege drucken
Print Drawing;Print Drawing;Zeichung drucken
Print Origin Country;Print Origin Country;Ursprungsland drucken
Print Origincountry Delif.;Print Origincountry Delif.;Ursprungsland auf LS
Probability %;Probability %;Auftragswahrscheinlichkeit %
Promised Delivery Date;Promised Delivery Date;Zugesagtes Lieferdatum
Quote Accepted;Quote Accepted;Offerte angenommen
Quote Accepted Date;Quote Accepted Date;Datum der Offertenannahme
Quote No.;Quote No.;Offertennr.
Quote Sent to Customer;Quote Sent to Customer;Offerte an Debitor gesendet
Quote valid until;Quote valid until;Offertgültigkeit
Quote Valid To Date;Quote Valid To Date;Gültig bis-Datum für Offerte
Reason Code;Reason Code;Ursachencode
Recalculate Invoice Disc.;Recalculate Invoice Disc.;Rechnungsrabatt neu berechnen
Receive;Receive;Wareneingang
Released by;Released by;Freigabe durch
Requested Delivery Date;Requested Delivery Date;Gewünschtes Lieferdatum
Reserve;Reserve;Reservieren
Never,Optional,Always;Never,Optional,Always;Nie,Optional,Immer
Responsibility Center;Responsibility Center;Zuständigkeitseinheitencode
Return Receipt No.;Return Receipt No.;Rücksendungsnr.
Return Receipt No. Series;Return Receipt No. Series;Rücksendungsnr.-Serie
Auftrag Herkunft;Auftrag Herkunft;Auftrag Herkunft
 ,Elfo Auftrag,WZB Auftrag; ,Elfo Auftrag,WZB Auftrag; ,Elfo Auftrag,WZB Auftrag
DocType_FI;DocType_FI;Belegartfilter
 ,Order Acknowledgement,Delivery Note,Invoice,Credit Note,Proforma Invoice; ,Order Acknowledgement,Delivery Note,Invoice,Credit Note,Proforma Invoice; ,Auftragsbestätigung,Lieferschein,Rechnung,Gutschrift,Proforma Rechnung
Salesperson Code;Salesperson Code;Verkäufercode
Sample Delifery;Sample Delifery;Mustersendung
Sell-to Address;Sell-to Address;Auftraggeber Adresse
Sell-to Address 2;Sell-to Address 2;Auftraggeber Adresse 2
Sell-to City;Sell-to City;Auftraggeber Ort
Sell-to Contact;Sell-to Contact;Auftraggeber Kontakt
Sell-to Contact No.;Sell-to Contact No.;Auftraggeber Kontaktnr.
Sell-to Country/Region Code;Sell-to Country/Region Code;Auftraggeber Länder-/Regionscode
Sell-to County;Sell-to County;Auftraggeber Kanton
Sell-to Customer Name;Sell-to Customer Name;Auftraggeber Name
Sell-to Customer Name 2;Sell-to Customer Name 2;Auftraggeber Name 2
Sell-to Customer No.;Sell-to Customer No.;Auftraggeber Nr.
Sell-to Customer Template Code;Sell-to Customer Template Code;Auftraggeber Deb.-Vorlagencode
Email;Email;E-Mail
Sell-to IC Partner Code;Sell-to IC Partner Code;Auftraggeber IC-Partnercode
Sell-to Phone No.;Sell-to Phone No.;Auftraggeber Telefon
Sell-to Post Code;Sell-to Post Code;Auftraggeber PLZ
Send IC Document;Send IC Document;IC-Beleg senden
Order-to No.;Order-to No.;Rech. an Nr.
Sent as Email;Sent as Email;Als E-Mail gesendet
Ship;Ship;Warenausgang
Ship-to Address;Ship-to Address;Lief. an Adresse
Ship-to Address 2;Ship-to Address 2;Lief. an Adresse 2
Ship-to City;Ship-to City;Lief. an Ort
Ship-to Contact;Ship-to Contact;Lief. an Kontakt
Ship-to Country/Region Code;Ship-to Country/Region Code;Lief. an Länder-/Regionscode
Ship-to County;Ship-to County;Lief. an Kanton
Ship-to Name;Ship-to Name;Lief. an Name
Ship-to Name 2;Ship-to Name 2;Lief. an Name 2
Ship-to Post Code;Ship-to Post Code;Lief. an PLZ
Shipment Date;Shipment Date;Warenausg.-Datum
Shipment Method Code;Shipment Method Code;Lieferbedingungscode
Shipped;Shipped;Geliefert
Shipped Not Invoiced;Shipped Not Invoiced;Nicht fakt. Lieferungen
Shipping Advice;Shipping Advice;Versandanweisung
Partial,Complete;Partial,Complete;Teillieferung,Komplettlieferung
Shipping Agent Code;Shipping Agent Code;Spediteurcode
Shipping Agent Service Code;Shipping Agent Service Code;Spediteurtransportartencode
Shipping No.;Shipping No.;Lieferungsnr.
Shipping No. Series;Shipping No. Series;Lieferungsnr.-Serie
Shipping Time;Shipping Time;Transportzeit
Shippingorder;Shippingorder;Speditionsauftrag
Do you want to change %1?;Do you want to change %1?;Möchten Sie %1 ändern?
Shortcut Dimension 1 Code;Shortcut Dimension 1 Code;Dimensionscode 1
Shortcut Dimension 2 Code;Shortcut Dimension 2 Code;Dimensionscode 2
Open,Released,Pending Approval,Pending Prepayment;Open,Released,Pending Approval,Pending Prepayment;Offen,Freigegeben,Genehmigung ausstehend,Vorauszahlung ausstehend
Tax Area Code;Tax Area Code;Salestax Gebietscode
Tax Liable;Tax Liable;Salestaxpflichtig
Tool and Mold;Tool and Mold;Werkzeugbau
Transaction Specification;Transaction Specification;Verfahren
Transaction Type;Transaction Type;Art des Geschäftes
Transport Method;Transport Method;Verkehrszweig
Transportinsurance;Transportinsurance;Transportversicherung
Print Insurance;Print Insurance;Versicherung drucken
Unit Volume (mü);Unit Volume (mü);Volumen (mü)
VAT Base Discount %;VAT Base Discount %;MWST Basis Skonto %
VAT Bus. Posting Group;VAT Bus. Posting Group;MWST-Geschäftsbuchungsgruppe
VAT Country/Region Code;VAT Country/Region Code;MWST-Länder-/Regionscode
VAT Registration No.;VAT Registration No.;MWST Nr.
Work Description;Work Description;Arbeitsbeschreibung
Your Reference;Your Reference;Ihre Referenz
Sales Line Migration;Sales Line Migration;Verkaufszeilen Migration
Allow Invoice Disc.;Allow Invoice Disc.;Rech.-Rabatt zulassen
Allow Item Charge Assignment;Allow Item Charge Assignment;Artikel Zu-/Abschlagszuw. zul.
Appl.-from Item Entry;Appl.-from Item Entry;Ausgegl. von Lagerposten
Appl.-to Item Entry;Appl.-to Item Entry;Ausgleich mit Lagerposten
ATO Whse. Outstanding Qty.;ATO Whse. Outstanding Qty.;Auftragsmontage - Lagerrestbestellmenge
ATO Whse. Outstd. Qty. (Base);ATO Whse. Outstd. Qty. (Base);Auftragsmontage - Lagerrestbestellmenge (Basis)
Attached Doc Count;Attached Doc Count;Anzahl der angehängten Belege
Attached to Line No.;Attached to Line No.;Gehört zu Zeilennr.
Blanket Order Line No.;Blanket Order Line No.;Rahmenauftragszeilennr.
Blanket Order No.;Blanket Order No.;Rahmenauftragsnr.
Quantity Invoiced;Quantity Invoiced;Menge fakturiert
Qty. in Order;Qty. in Order;Menge in Auftrag
Quantity Shipped;Quantity Shipped;Menge geliefert
BOM Item No.;BOM Item No.;Fert.-Stückliste Artikelnr.
Classification;Classification;Gliederung
Copied From Posted Doc.;Copied From Posted Doc.;Aus gebuchten Belegen kopiert.
Cross-Reference No.;Cross-Reference No.;Referenznr.
Cross-Reference Type;Cross-Reference Type;Referenzart
 ,Customer,Vendor,Bar Code; ,Customer,Vendor,Bar Code; ,Debitor,Kreditor,Barcode
Cross-Reference Type No.;Cross-Reference Type No.;Referenzartennr.
Country/Region of Origin Code;Country/Region of Origin Code;Ursprungsland/-region
Customer Line Reference;Customer Line Reference;Debitorzeilenreferenz
Deferral Code;Deferral Code;Abgrenzungscode
Depr. until FA Posting Date;Depr. until FA Posting Date;Abschreibung bis Anlagedatum
Depreciation Book Code;Depreciation Book Code;Abschreibungsbuchcode
Drop Shipment;Drop Shipment;Direktlieferung
Duplicate in Depreciation Book;Duplicate in Depreciation Book;In Abschreibungsbuch kopieren
FA Posting Date;FA Posting Date;Anlagedatum
IC Partner Code;IC Partner Code;IC-Partnercode
IC Partner Ref. Type;IC Partner Ref. Type;IC-Partnerref.-Art
 ,G/L Account,Item,,,Charge (Item),Cross Reference,Common Item No.; ,G/L Account,Item,,,Charge (Item),Cross Reference,Common Item No.; ,Fibukonto,Artikel,,,Zu-/Abschlag (Artikel),Referenz,Gemeinsame Artikelnr.
IC Partner Reference;IC Partner Reference;IC-Partnerreferenz
Inv. Disc. Amount to Invoice;Inv. Disc. Amount to Invoice;Rechnungsrabattbetrag zu fakt.
Inv. Discount Amount;Inv. Discount Amount;Rechnungsrabattbetrag
Item Category Code;Item Category Code;Artikelkategoriencode
Job Contract Entry No.;Job Contract Entry No.;Projektvertragspostennr.
Job No.;Job No.;Projektnr.
Job Task No.;Job Task No.;Projektaufgabennr.
Level;Level;Stufe
Line Amount;Line Amount;Zeilenbetrag
Line Discount %;Line Discount %;Zeilenrabatt %
Line Discount Amount;Line Discount Amount;Zeilenrabattbetrag
Line Discount Calculation;Line Discount Calculation;Zeilenrabattberechnung
Catalog;Catalog;Katalog
Originally Ordered No.;Originally Ordered No.;Urspr. Nr. (Auftrag)
Originally Ordered Var. Code;Originally Ordered Var. Code;Urspr. Variantencode (Auftrag)
Out-of-Stock Substitution;Out-of-Stock Substitution;Ersatz da nicht am Lager
Outstanding Amount;Outstanding Amount;Restauftragsbetrag
Outstanding Amount (LCY);Outstanding Amount (LCY);Restauftragsbetrag (MW)
Outstanding Qty. (Base);Outstanding Qty. (Base);Restauftragsmenge (Basis)
Outstanding Quantity;Outstanding Quantity;Restauftragsmenge
Planned;Planned;Geplant
Planned Delivery Date;Planned Delivery Date;Geplantes Lieferdatum
Planned Shipment Date;Planned Shipment Date;Geplantes Warenausgangsdatum
Pmt. Discount Amount;Pmt. Discount Amount;Skontobetrag
Position;Position;Position
Posting Group;Posting Group;Buchungsgruppe
Prepayment Amount;Prepayment Amount;Vorauszahlungsbetrag
Prepayment Line;Prepayment Line;Vorauszahlungszeile
Prepayment Tax Area Code;Prepayment Tax Area Code;Salestax Gebietscode Vorauszahlung
Prepayment Tax Group Code;Prepayment Tax Group Code;Salestax Gruppencode Vorauszahlung
Prepayment Tax Liable;Prepayment Tax Liable;Steuerpflichtige Vorauszahlung
Prepayment VAT %;Prepayment VAT %;MwSt % Vorauszahlung
Prepayment VAT Difference;Prepayment VAT Difference;MWST-Differenz Vorauszahlung
Prepayment VAT Identifier;Prepayment VAT Identifier;MWST ID Vorauszahlung
Prepmt Amt Deducted;Prepmt Amt Deducted;Abgezogener Vorauszahlungsbetrag
Prepmt Amt to Deduct;Prepmt Amt to Deduct;Abzuziehender Vorauszahlungsbetrag
Prepmt VAT Diff. Deducted;Prepmt VAT Diff. Deducted;Abgezogene MWST-Differenz Vorauszahlung
Prepmt VAT Diff. to Deduct;Prepmt VAT Diff. to Deduct;Abzuziehende MWST-Differenz Vorauszahlung
Prepmt. Amount Inv. (LCY);Prepmt. Amount Inv. (LCY);Fakt. Vorauszahlungsbetrag (MW)
Prepmt. Amount Inv. Incl. VAT;Prepmt. Amount Inv. Incl. VAT;Fakt. Vorauszahlungsbetrag einschl. MWST
Prepmt. Amt. Incl. VAT;Prepmt. Amt. Incl. VAT;Vorauszahlungsbetrag einschl. MwSt
Prepmt. Amt. Inv.;Prepmt. Amt. Inv.;Fakt. Vorauszahlungsbetrag
Prepmt. Line Amount;Prepmt. Line Amount;Vorauszahlungszeilenbetrag
Prepmt. VAT Amount Inv. (LCY);Prepmt. VAT Amount Inv. (LCY);Fakt. MWST-Vorauszahlungsbetrag (MW)
Prepmt. VAT Base Amt.;Prepmt. VAT Base Amt.;MWST Basis Vorauszahlung
Prepmt. VAT Calc. Type;Prepmt. VAT Calc. Type;MWST-Berechnungsart Vorauszahlung
Normal VAT,Reverse Charge VAT,Full VAT,Sales Tax;Normal VAT,Reverse Charge VAT,Full VAT,Sales Tax;Normale MWST,Erwerbsbesteuerung,Nur MWST,Salestax
Price description;Price description;Preisbeschreibung
Profit %;Profit %;DB %
Purch. Order Line No.;Purch. Order Line No.;Bestellungszeilennr.
Purchase Order No.;Purchase Order No.;Bestellungsnr.
Purchasing Code;Purchasing Code;Einkaufscode
Qty. Assigned;Qty. Assigned;Zugewiesene Menge
Qty. Invoiced (Base);Qty. Invoiced (Base);Fakturierte Menge (Basis)
Qty. per Unit of Measure;Qty. per Unit of Measure;Menge pro Einheit
Qty. Shipped (Base);Qty. Shipped (Base);Menge geliefert (Basis)
Qty. Shipped Not Invd. (Base);Qty. Shipped Not Invd. (Base);Lief. nicht fakt. Menge(Basis)
Qty. Shipped Not Invoiced;Qty. Shipped Not Invoiced;Lief. nicht fakt. Menge
Qty. to Asm. to Order (Base);Qty. to Asm. to Order (Base);Menge für Auftragsmontage (Basis)
Qty. to Assemble to Order;Qty. to Assemble to Order;Menge für Auftragsmontage
Qty. to Assign;Qty. to Assign;Menge für Zuweisung
Qty. to Invoice;Qty. to Invoice;Zu fakturieren Menge
Qty. to Invoice (Base);Qty. to Invoice (Base);Zu fakturieren Menge (Basis)
Qty. to Ship;Qty. to Ship;Zu liefern Menge
Qty. to Ship (Base);Qty. to Ship (Base);Zu liefern Menge (Basis)
Menge zu liefern;Menge zu liefern;Menge zu liefern
Quantity (Base);Quantity (Base);Menge (Basis)
Quote Variant;Quote Variant;Offerte Variante
 ,Calculate only,Variant; ,Calculate only,Variant; ,Nur rechnen,Variante
Reserved Qty. (Base);Reserved Qty. (Base);Reservierte Menge (Basis)
Reserved Quantity;Reserved Quantity;Reservierte Menge
Ret. Qty. Rcd. Not Invd.(Base);Ret. Qty. Rcd. Not Invd.(Base);Lief.n.fak. Rücks.-Mge.(Basis)
Return Qty. Rcd. Not Invd.;Return Qty. Rcd. Not Invd.;Lief. n. fakt. Rücks.-Menge
Return Qty. Received;Return Qty. Received;Bereits gelief. Rücks.-Menge
Return Qty. Received (Base);Return Qty. Received (Base);Ber. gel. Rücks.-Menge (Basis)
Return Qty. to Receive;Return Qty. to Receive;Menge akt. Rücksendung
Return Qty. to Receive (Base);Return Qty. to Receive (Base);Menge akt. Rücksendung (Basis)
Return Rcd. Not Invd.;Return Rcd. Not Invd.;Lief. n. fakt. Rücks.-Betr.
Return Rcd. Not Invd. (LCY);Return Rcd. Not Invd. (LCY);Lief. n. fak. Rücks.-Betr.(MW)
Return Reason Code;Return Reason Code;Reklamationsgrundcode
Return Receipt Line No.;Return Receipt Line No.;Rücksendungszeilennr.
Returns Deferral Start Date;Returns Deferral Start Date;Gibt Abgrenzungsstartdatum zurück
Shipment Line No.;Shipment Line No.;Lieferzeilennr.
Shipment No.;Shipment No.;Lieferungsnr.
Shipped Not Invoiced (LCY);Shipped Not Invoiced (LCY);Nicht fakturierte Lieferung (MW)
Shipped Not Invoiced (LCY) Incl. VAT;Shipped Not Invoiced (LCY) Incl. VAT;Nicht fakturierte Lieferung (MW) inkl. MWST
Speditionsauftrag;Speditionsauftrag;Speditionsauftrag
Special Order;Special Order;Spezialauftrag
Special Order Purch. Line No.;Special Order Purch. Line No.;Spezialauftrag-Eink.-Zeilennr.
Special Order Purchase No.;Special Order Purchase No.;Spezialauftrag-Bestellnr.
Substitution Available;Substitution Available;Ersatzartikel verfügbar
Subtotal Gross;Subtotal Gross;Subtotal brutto
Subtotal Net;Subtotal Net;Subtotal netto
Subtype;Subtype;Unterart
 ,Item - Inventory,Item - Service,Comment; ,Item - Inventory,Item - Service,Comment; ,Artikel - Lagerbestand,Artikel - Dienstleistung,Kommentar
System-Created Entry;System-Created Entry;Systembuchung
Tariff No.;Tariff No.;Zollpos.
Tax Category;Tax Category;Steuerkategorie
Tax Group Code;Tax Group Code;Salestax Gruppencode
Title No.;Title No.;Titelnr.
TxtType_FI;TxtType_FI;Text Typ
Txt;Txt;Txt
 ,G/L Account,Item,Resource,Fixed Asset,Charge (Item),Title,Begin-Total,End-Total,New Page; ,G/L Account,Item,Resource,Fixed Asset,Charge (Item),Title,Begin-Total,End-Total,New Page; ,Fibukonto,Artikel,Ressource,Anlage,Artikel Zu-/Abschläge,Titel,Von-Summe,Bis-Summe,Neue Seite
Unit Cost;Unit Cost;Einstandspreis
Unit Cost (LCY);Unit Cost (LCY);Einstandspreis (MW)
Unit of Measure (Cross Ref.);Unit of Measure (Cross Ref.);Einheit (Referenz)
Unit Price;Unit Price;VK-Preis
Unit Volume;Unit Volume;Volumen
Units per Parcel;Units per Parcel;Anzahl pro Paket
Use Duplication List;Use Duplication List;Kopiervorgang aktivieren
VAT %;VAT %;MWST %
VAT Base Amount;VAT Base Amount;MWST Basisbetrag
VAT Calculation Type;VAT Calculation Type;MWST-Berechnungsart
VAT Clause Code;VAT Clause Code;MWST-Klauselcode
VAT Difference;VAT Difference;MWST-Differenz
VAT Identifier;VAT Identifier;MWST ID
VAT Prod. Posting Group;VAT Prod. Posting Group;MWST-Produktbuchungsgruppe
Whse. Outstanding Qty.;Whse. Outstanding Qty.;Lagerrestbestellmenge
Whse. Outstanding Qty. (Base);Whse. Outstanding Qty. (Base);Lagerrestbestellmenge (Basis)
Work Type Code;Work Type Code;Arbeitstypencode
Sales Price;Sales Price;Verkaufspreis
%1 cannot be after %2;%1 cannot be after %2;Das %1 kann nicht nach dem %2 sein.
%1 must be blank.;%1 must be blank.;%1 muss leer sein.
You can only change the %1 and %2 from the Campaign Card when %3 = %4;You can only change the %1 and %2 from the Campaign Card when %3 = %4;Sie können das %1 und %2 nur in der Kampagnenkarte ändern, wenn die %3 = %4 ist.
Ending Date;Ending Date;End Datum
Minimum Quantity;Minimum Quantity;Mindest Menge
Price Includes VAT;Price Includes VAT;VK-Preis inkl. MWST
Menge per Auftrag;Menge per Auftrag;Menge per Auftrag
Menge per Jahr;Menge per Jahr;Menge per Jahr
Sales Code;Sales Code;Verkaufscode
Sales Type;Sales Type;Verkaufsart
Customer,Customer Price Group,All Customers,Campaign;Customer,Customer Price Group,All Customers,Campaign;Debitor,Debitorenpreisgruppe,Alle Debitoren,Kampagne
Starting Date;Starting Date;Start Datum
VAT Bus. Posting Gr. (Price);VAT Bus. Posting Gr. (Price);MWST-Geschäftsbuch.-G.(Preis)
Shipping Order;Shipping Order;Speditionsauftrag
Addr_FI;Addr_FI;Adresse
ShipTo,Notify;ShipTo,Notify;Liefern an,Benachrichtigen
Ausfuhrbewilligung;Ausfuhrbewilligung;Ausfuhrbewilligung
- Nummer;- Nummer;- Nummer
Handelsrechnung;Handelsrechnung;Handelsrechnung
Akkreditiv-Kopie;Akkreditiv-Kopie;Akkreditiv-Kopie
WVB/UZ;WVB/UZ;WVB/UZ
Sonstiges;Sonstiges;Sonstiges
- Bezeichnung;- Bezeichnung;- Bezeichnung
Packlisten;Packlisten;Packlisten
Ort;Ort;Ort
Bestimmungsland;Bestimmungsland;Bestimmungsland
Salesperson Name;Salesperson Name;Bestimmungsland
Auslieferungsvorschriften;Auslieferungsvorschriften;Auslieferungsvorschriften
 ,Nachnahme,andere; ,Nachnahme,andere; ,Nachnahme,andere
Sie erhalten per;Sie erhalten per;Sie erhalten per
UnDef,Cargo Domizil,Cargo Rapid,Camion,Paketpost,Postexpress,wird überbracht;UnDef,Cargo Domizil,Cargo Rapid,Camion,Paketpost,Postexpress,wird überbracht;UnDef,Cargo Domizil,Cargo Rapid,Camion,Paketpost,Postexpress,wird überbracht
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
in CHF;in CHF;in CHF
andere;andere;andere
Adresse;Adresse;Adresse
Country;Country;Land
Name 2;Name 2;Name 2
Exporteur;Exporteur;Exporteur
Post Code;Post Code;PLZ
Fixtext;Fixtext;Fixtext
Sonstige;Sonstige;Sonstige
zu deckende Risiken;zu deckende Risiken;zu deckende Risiken
 ,Eingeschränkt,Erweitert,Gegen alle Risiken,Sonstige; ,Eingeschränkt,Erweitert,Gegen alle Risiken,Sonstige; ,Eingeschränkt,Erweitert,Gegen alle Risiken,Sonstige
Zoll;Zoll;Zoll
,duty paid,duty unpaid;,duty paid,duty unpaid;,verzollt,unverzollt
Steuer;Steuer;Steuer
,taxed,untaxed;,taxed,untaxed;,versteuert,unversteuert
Frankatur;Frankatur;Frankatur
EXW,FCA,FAS,FOB,CFR,CIF,CPT,CIP,DAF,DES,DEQ,DAP,DDP,13,14,15,16,17,18,19,Sonstige;EXW,FCA,FAS,FOB,CFR,CIF,CPT,CIP,DAF,DES,DEQ,DAP,DDP,13,14,15,16,17,18,19,Sonstige;EXW,FCA,FAS,FOB,CFR,CIF,CPT,CIP,DAF,DES,DEQ,DAP,DDP,13,14,15,16,17,18,19,Sonstige
Transportversicherung;Transportversicherung;Transportversicherung
 ,durch Empfänger,durch Absender,zu deckende Risiken; ,durch Empfänger,durch Absender,zu deckende Risiken; ,durch Empfänger,durch Absender,zu deckende Risiken
Kopie B/L,AWB;Kopie B/L,AWB;Kopie B/L,AWB
Orig. B/L,AWB;Orig. B/L,AWB;Orig. B/L,AWB
Customs Declaration;Customs Declaration;1 Zoll-Anm.Kopie
Sonsitge;Sonsitge;Sonsitge
Adresse 2;Adresse 2;Adresse 2
Notify Adresse;Notify Adresse;Notify Adresse
Related Orderlines;Related Orderlines;Zugeordnete Auftragszeilen
Holen Sie ab;Holen Sie ab;Holen Sie ab
Referenz;Referenz;Referenz
User Name;User Name;Sachbearbeiter/In Name
Related Orders;Related Orders;Zugeordnete Aufträge
Spediteur;Spediteur;Spediteur
Shortaddress;Shortaddress;Kurzadresse
KurzZeichen;KurzZeichen;KurzZeichen
